"","COM","PTOT"
"863","Monceau-les-Leups-2",472
"864","Monceau-sur-Oise-2",129
"865","Mondrepuis-2",1056
"866","Monnes-2",103
"867","Mons-en-Laonnois-2",1180
"868","Mont-d'Origny-2",832
"869","Mont-Notre-Dame-2",742
"870","Mont-Saint-Jean-2",76
"871","Mont-Saint-Martin-2",74
"872","Mont-Saint-Pere-2",714
"873","Montaigu-2",776
"874","Montbavin-2",45
"875","Montbrehain-2",828
"876","Montchalons-2",91
"877","Montcornet-2",1337
"878","Montescourt-Lizerolles-2",1660
"879","Montfaucon-2",209
"880","Montgobert-2",200
"881","Montgru-Saint-Hilaire-2",33
"882","Monthenault-2",156
"883","Monthiers-2",159
"884","Monthurel-2",152
"885","Montigny-en-Arrouaise-2",294
"886","Montigny-l'Allier-2",278
"887","Montigny-le-Franc-2",141
"888","Montigny-Lengrain-2",724
"889","Montigny-les-Conde-2",63
"890","Montigny-sous-Marle-2",67
"891","Montigny-sur-Crecy-2",307
"892","Montlevon-2",307
"893","Montloue-2",191
"894","Montreuil-aux-Lions-2",1384
"895","Morcourt-2",592
"896","Morgny-en-Thierache-2",97
"897","Morsain-2",464
"898","Mortefontaine-2",234
"899","Mortiers-2",182
"900","Moulins-2",78
"901","Moussy-Verneuil-2",121
"902","Moÿ-de-l'Aisne-2",999
