COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
codeGeo;Code du quartier prioritaire;QP018004;Clos Du Roy - Centre Ville - Vierzon;CHAR;8
codeGeo;Code du quartier prioritaire;QP019001;Rivet;CHAR;8
codeGeo;Code du quartier prioritaire;QP019002;Tujac;CHAR;8
codeGeo;Code du quartier prioritaire;QP019003;Les Chapélies;CHAR;8
codeGeo;Code du quartier prioritaire;QP021001;Saint Jacques;CHAR;8
codeGeo;Code du quartier prioritaire;QP021002;Le Mail;CHAR;8
codeGeo;Code du quartier prioritaire;QP021003;Fontaine D'Ouche;CHAR;8
codeGeo;Code du quartier prioritaire;QP021004;Les Grésilles;CHAR;8
codeGeo;Code du quartier prioritaire;QP021005;Le Bief Du Moulin;CHAR;8
codeGeo;Code du quartier prioritaire;QP021006;Le Belvédère;CHAR;8
codeGeo;Code du quartier prioritaire;QP022001;Ar Santé - Les Fontaines;CHAR;8
codeGeo;Code du quartier prioritaire;QP022002;Ker Uhel;CHAR;8
codeGeo;Code du quartier prioritaire;QP022003;Iroise;CHAR;8
codeGeo;Code du quartier prioritaire;QP022004;Croix Saint-Lambert - Ville Oger;CHAR;8
codeGeo;Code du quartier prioritaire;QP022005;Le Plateau - Europe - Balzac;CHAR;8
codeGeo;Code du quartier prioritaire;QP022006;Point Du Jour;CHAR;8
codeGeo;Code du quartier prioritaire;QP022007;La Fontaine Des Eaux;CHAR;8
codeGeo;Code du quartier prioritaire;QP023001;L'Albatros;CHAR;8
codeGeo;Code du quartier prioritaire;QP024001;Rive Gauche;CHAR;8
codeGeo;Code du quartier prioritaire;QP024002;Quartier Des Deux Rives;CHAR;8
codeGeo;Code du quartier prioritaire;QP024003;Quartier Nord;CHAR;8
codeGeo;Code du quartier prioritaire;QP024004;Chamiers;CHAR;8
codeGeo;Code du quartier prioritaire;QP024005;La Boucle De L'Isle;CHAR;8
codeGeo;Code du quartier prioritaire;QP025001;Le Grand Longs Traits;CHAR;8
codeGeo;Code du quartier prioritaire;QP025002;Grette;CHAR;8
codeGeo;Code du quartier prioritaire;QP025003;Orchamps - Palente;CHAR;8
codeGeo;Code du quartier prioritaire;QP025004;Planoise;CHAR;8
codeGeo;Code du quartier prioritaire;QP025005;Montrapon;CHAR;8
codeGeo;Code du quartier prioritaire;QP025006;Clairs Soleils;CHAR;8
codeGeo;Code du quartier prioritaire;QP025007;Les Champs Montants;CHAR;8
codeGeo;Code du quartier prioritaire;QP025008;Champvallon;CHAR;8
codeGeo;Code du quartier prioritaire;QP025009;Les Fougères;CHAR;8
codeGeo;Code du quartier prioritaire;QP025010;Chiffogne;CHAR;8
codeGeo;Code du quartier prioritaire;QP025011;Petite Hollande;CHAR;8
codeGeo;Code du quartier prioritaire;QP025012;Les Evoironnes;CHAR;8
codeGeo;Code du quartier prioritaire;QP025013;Les Buis;CHAR;8
codeGeo;Code du quartier prioritaire;QP026001;Centre Ancien;CHAR;8
codeGeo;Code du quartier prioritaire;QP026002;Quartiers Ouest;CHAR;8
codeGeo;Code du quartier prioritaire;QP026003;Nocaze;CHAR;8
codeGeo;Code du quartier prioritaire;QP026004;Centre Ancien;CHAR;8
codeGeo;Code du quartier prioritaire;QP026005;Quartier Est;CHAR;8
codeGeo;Code du quartier prioritaire;QP026006;Polygone;CHAR;8
codeGeo;Code du quartier prioritaire;QP026007;Les Hauts De Valence;CHAR;8
codeGeo;Code du quartier prioritaire;QP026008;Valensoles;CHAR;8
codeGeo;Code du quartier prioritaire;QP026009;Chamberlière;CHAR;8
codeGeo;Code du quartier prioritaire;QP026010;Le Roc;CHAR;8
codeGeo;Code du quartier prioritaire;QP026011;Coeur De Loriol;CHAR;8
codeGeo;Code du quartier prioritaire;QP026012;Clairval;CHAR;8
codeGeo;Code du quartier prioritaire;QP027001;Valmeux - Blanchères;CHAR;8
codeGeo;Code du quartier prioritaire;QP027002;Boutardes;CHAR;8
codeGeo;Code du quartier prioritaire;QP027003;La Madeleine;CHAR;8
codeGeo;Code du quartier prioritaire;QP027004;Nétreville;CHAR;8
codeGeo;Code du quartier prioritaire;QP027005;Navarre;CHAR;8
codeGeo;Code du quartier prioritaire;QP027006;Maison-Rouge;CHAR;8
codeGeo;Code du quartier prioritaire;QP027007;Acacias - La Londe - Les Oiseaux;CHAR;8
codeGeo;Code du quartier prioritaire;QP027008;Centre Ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP027009;Le Bourg Le Comte;CHAR;8
codeGeo;Code du quartier prioritaire;QP027010;L'Europe;CHAR;8
codeGeo;Code du quartier prioritaire;QP027011;La Passerelle;CHAR;8
codeGeo;Code du quartier prioritaire;QP028001;Les Vauvettes;CHAR;8
